subject,body,label,sender,date_received,has_links,has_attachments,priority
Lottery Winner Notification,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,alerts@creditcard-secure.com,3/23/2025 10:34,1,0,High
Birthday Lunch Invitation,Monthly sales report attached. Please review and provide feedback.,ham,facilities@company.org,3/23/2025 22:28,0,1,High
Tax Refund Pending,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,noreply@bank-security.org,3/24/2025 10:35,1,0,High
Tax Refund Pending,Your account was accessed from Nigeria. Verify activity: http://secure-login.xyz,spam,rewards@shopping-offers.com,3/24/2025 11:14,1,0,Medium
Healthcare Plan Updates,Attached are the revised TPS reports. Pls review by EOD. - Rachel,ham,hr@company.org,3/24/2025 18:31,0,1,Medium
75% OFF Limited Offer!,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,irs@tax-refund.gov,3/25/2025 3:36,1,0,High
Lunch Plan Confirmation,Welcome package attached. Start date: Aug 21. - HR Team,ham,hr@company.org,3/25/2025 11:07,0,1,Medium
Re: Client Feedback Document,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,clientrelations@company.org,3/26/2025 0:18,0,0,High
You Won an iPhone 15!,Reset your password immediately: http://reset-password.now,spam,lottery@claim-now.com,3/26/2025 15:30,1,0,High
Urgent Password Reset,Your account was accessed from Nigeria. Verify activity: http://secure-login.xyz,spam,noreply@bank-security.org,3/27/2025 4:26,1,0,Medium
Tax Refund Pending,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,security@password-reset.net,3/27/2025 8:50,1,0,High
Password Reset Required,New insurance options attached. Enrollment deadline: Aug 15.,ham,it@company.org,3/27/2025 17:34,0,0,Medium
You Won an iPhone 15!,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,deals@flashsale.club,3/27/2025 19:29,1,0,High
Urgent Password Reset,You’ve been selected! Redeem at Walmart: http://gift500.claim-fast.tk,spam,alerts@creditcard-secure.com,3/28/2025 2:34,1,0,High
Exclusive Deal Just For You!,Your account was accessed from Nigeria. Verify activity: http://secure-login.xyz,spam,wins@promo-today.xyz,3/28/2025 21:00,1,0,High
Claim Your $500 Gift Card,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,irs@tax-refund.gov,3/29/2025 9:50,1,0,High
Monthly Sales Report,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,sales@company.org,3/29/2025 20:03,0,1,Low
75% OFF Limited Offer!,Package #FHJ332 could not be delivered. Update address: http://fedex-track-033.xyz,spam,security@password-reset.net,3/30/2025 3:01,1,0,High
Investment Opportunity,Claim your FREE iPhone 15 Pro! Click: http://apple-giveaway.free,spam,sales@techshop.xyz,3/30/2025 3:19,1,0,High
Exclusive Deal Just For You!,"Dear user, your account will be suspended in 24 hrs. Verify now: http://secure-login.net/confirm?user=123",spam,alerts@creditcard-secure.com,3/30/2025 12:44,1,0,High
Exclusive Deal Just For You!,You won the lottery! Claim now: http://lottery-claim.win,spam,security@bank-alerts.net,3/30/2025 17:51,1,0,Medium
Urgent Password Reset,You’ve been selected! Redeem at Walmart: http://gift500.claim-fast.tk,spam,alert@mobile-services.xyz,3/30/2025 20:57,1,0,High
Password Reset Required,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,teamlead@company.org,4/1/2025 14:57,0,0,Medium
Healthcare Plan Updates,Here is the weekly newsletter for your review.,ham,facilities@company.org,4/3/2025 5:14,0,0,High
Missed Call Alert,Claim your FREE iPhone 15 Pro! Click: http://apple-giveaway.free,spam,alerts@creditcard-secure.com,4/3/2025 9:40,1,0,High
Meeting Rescheduled,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,jane.ceo@company.org,4/3/2025 19:16,0,1,Low
FedEx Delivery Failed,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,prince.ali@africamail.ng,4/5/2025 9:18,1,0,High
Investment Opportunity,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,irs@tax-refund.gov,4/5/2025 19:39,1,0,High
Healthcare Plan Updates,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,facilities@company.org,4/5/2025 23:43,0,1,Medium
Investment Opportunity,You won the lottery! Claim now: http://lottery-claim.win,spam,rewards@shopping-offers.com,4/6/2025 2:48,1,0,High
FedEx Delivery Failed,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,rewards@shopping-offers.com,4/7/2025 9:55,1,0,Medium
Client Follow-up,Team outing scheduled for Friday. RSVP by Wednesday.,ham,newsletter@company.org,4/7/2025 16:53,0,0,Low
Lunch Plan Confirmation,"Team, let’s meet at 2 PM in Conference Room B. Agenda: Q3 milestones. Bring laptops.",ham,jane.ceo@company.org,4/8/2025 0:28,0,0,Medium
FedEx Delivery Failed,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,alert@fedex-delivery.services,4/8/2025 3:36,1,0,Medium
Meeting Rescheduled,Welcome package attached. Start date: Aug 21. - HR Team,ham,security@company.org,4/8/2025 8:47,0,1,High
Lottery Winner Notification,You won the lottery! Claim now: http://lottery-claim.win,spam,alerts@creditcard-secure.com,4/9/2025 1:34,1,0,Medium
Lottery Winner Notification,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,alerts@creditcard-secure.com,4/9/2025 8:46,1,0,High
Urgent Password Reset,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,security@bank-alerts.net,4/9/2025 12:50,1,0,High
Weekly Newsletter,Meeting rescheduled to Thursday at 11 AM.,ham,cfo@company.org,4/9/2025 22:31,0,1,High
Client Follow-up,Meeting rescheduled to Thursday at 11 AM.,ham,rachel.manager@corp.com,4/9/2025 23:35,0,0,Medium
Limited Time Offer!,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,security@bank-alerts.net,4/10/2025 12:55,1,0,Medium
Weekly Newsletter,"Team, let’s meet at 2 PM in Conference Room B. Agenda: Q3 milestones. Bring laptops.",ham,rachel.manager@corp.com,4/10/2025 15:14,0,1,Low
Lottery Winner Notification,Alert: suspicious activity on your credit card. Confirm: http://cc-alerts.com,spam,alert@mobile-services.xyz,4/11/2025 10:56,1,0,High
Limited Time Offer!,Alert: suspicious activity on your credit card. Confirm: http://cc-alerts.com,spam,offers@exclusive-deals.shop,4/11/2025 15:53,1,0,High
Birthday Lunch Invitation,Following up on client meeting notes and next steps.,ham,jane.ceo@company.org,4/11/2025 17:37,0,0,Medium
Credit Card Alert,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,security@password-reset.net,4/12/2025 5:26,1,0,High
75% OFF Limited Offer!,You won the lottery! Claim now: http://lottery-claim.win,spam,security@password-reset.net,4/12/2025 15:51,1,0,Medium
Credit Card Alert,"Dear user, your account will be suspended in 24 hrs. Verify now: http://secure-login.net/confirm?user=123",spam,offers@exclusive-deals.shop,4/12/2025 21:46,1,0,Medium
Limited Time Offer!,"Dear user, your account will be suspended in 24 hrs. Verify now: http://secure-login.net/confirm?user=123",spam,alerts@creditcard-secure.com,4/13/2025 9:45,1,0,High
Account Suspension Warning,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,security@password-reset.net,4/13/2025 11:09,1,0,High
Re: Client Feedback Document,Monthly sales report attached. Please review and provide feedback.,ham,scheduler@company.org,4/14/2025 5:51,0,1,Low
Client Follow-up,Meeting rescheduled to Thursday at 11 AM.,ham,it@company.org,4/14/2025 18:17,0,0,High
Netflix Account Expired,You won the lottery! Claim now: http://lottery-claim.win,spam,lottery@claim-now.com,4/15/2025 23:07,1,0,Medium
Limited Time Offer!,"Dear user, your account will be suspended in 24 hrs. Verify now: http://secure-login.net/confirm?user=123",spam,alert@fedex-delivery.services,4/16/2025 7:15,1,0,Medium
Re: New Hire Onboarding,Welcome package attached. Start date: Aug 21. - HR Team,ham,sales@company.org,4/16/2025 19:25,0,0,Medium
Lottery Winner Notification,Alert: suspicious activity on your credit card. Confirm: http://cc-alerts.com,spam,deals@flashsale.club,4/17/2025 11:32,1,0,High
Monthly Sales Report,Monthly sales report attached. Please review and provide feedback.,ham,newsletter@company.org,4/17/2025 13:11,0,1,High
Project Update Meeting,Monthly sales report attached. Please review and provide feedback.,ham,security@company.org,4/17/2025 19:07,0,1,High
75% OFF Limited Offer!,You won the lottery! Claim now: http://lottery-claim.win,spam,rewards@shopping-offers.com,4/18/2025 6:34,1,0,Medium
Client Follow-up,Meeting rescheduled to Thursday at 11 AM.,ham,clientrelations@company.org,4/19/2025 2:46,0,0,Medium
Re: New Hire Onboarding,Join us for Alex’s birthday lunch at 12:30 PM in the cafeteria!,ham,sam.colleague@company.org,4/19/2025 11:48,0,0,Medium
You Won an iPhone 15!,Claim your FREE iPhone 15 Pro! Click: http://apple-giveaway.free,spam,lottery@claim-now.com,4/19/2025 20:04,1,0,Medium
Team Outing Details,Here is the weekly newsletter for your review.,ham,facilities@company.org,4/20/2025 5:14,0,0,Medium
75% OFF Limited Offer!,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,alert@mobile-services.xyz,4/20/2025 12:16,1,0,Medium
Re: Budget Approval,Room 5B booked for your 3 PM client call. Projector arranged.,ham,events@company.org,4/21/2025 22:18,0,0,High
FedEx Delivery Failed,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,rewards@shopping-offers.com,4/22/2025 14:57,1,0,Medium
Weekly Newsletter,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,teamlead@company.org,4/23/2025 6:41,0,1,Medium
Password Reset Required,New insurance options attached. Enrollment deadline: Aug 15.,ham,cfo@company.org,4/23/2025 8:13,0,1,Medium
Client Follow-up,Room 5B booked for your 3 PM client call. Projector arranged.,ham,sam.colleague@company.org,4/23/2025 14:53,0,1,Medium
Software Upgrade Reminder,Monthly sales report attached. Please review and provide feedback.,ham,security@company.org,4/25/2025 0:24,0,0,Low
Urgent: Unusual Login Detected,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,alert@fedex-delivery.services,4/25/2025 1:08,1,0,High
Missed Call Alert,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,alerts@creditcard-secure.com,4/25/2025 12:54,1,0,High
Netflix Account Expired,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,rewards@shopping-offers.com,4/25/2025 16:19,1,0,High
Lottery Winner Notification,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,irs@tax-refund.gov,4/25/2025 18:41,1,0,Medium
Weekly Newsletter,IT Team: Server maintenance tonight 10 PM–2 AM. Prepare accordingly.,ham,sales@company.org,4/26/2025 3:31,0,1,Medium
Software Upgrade Reminder,"Team, let’s meet at 2 PM in Conference Room B. Agenda: Q3 milestones. Bring laptops.",ham,teamlead@company.org,4/26/2025 9:04,0,1,High
Conference Room Booking,Room 5B booked for your 3 PM client call. Projector arranged.,ham,scheduler@company.org,4/26/2025 10:06,0,0,High
Birthday Lunch Invitation,Meeting rescheduled to Thursday at 11 AM.,ham,newsletter@company.org,4/26/2025 14:20,0,1,Medium
Tax Refund Pending,You won the lottery! Claim now: http://lottery-claim.win,spam,alert@fedex-delivery.services,4/26/2025 16:05,1,0,High
Urgent Password Reset,You won the lottery! Claim now: http://lottery-claim.win,spam,security@password-reset.net,4/26/2025 22:26,1,0,High
Weekly Newsletter,"Team, let’s meet at 2 PM in Conference Room B. Agenda: Q3 milestones. Bring laptops.",ham,facilities@company.org,4/26/2025 22:46,0,1,High
Urgent: Unusual Login Detected,Special discount just for you: http://exclusive-deal.shop,spam,alert@fedex-delivery.services,4/27/2025 2:29,1,0,High
Exclusive Deal Just For You!,Alert: suspicious activity on your credit card. Confirm: http://cc-alerts.com,spam,alerts@creditcard-secure.com,4/27/2025 10:44,1,0,High
Re: Budget Approval,Meeting rescheduled to Thursday at 11 AM.,ham,sales@company.org,4/28/2025 14:15,0,1,Medium
Software Upgrade Reminder,Monthly sales report attached. Please review and provide feedback.,ham,rachel.manager@corp.com,4/28/2025 15:06,0,1,Low
Urgent Password Reset,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,sales@techshop.xyz,4/29/2025 4:09,1,0,Medium
Tax Refund Pending,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,deals@flashsale.club,4/29/2025 15:11,1,0,High
Re: Budget Approval,Following up on client meeting notes and next steps.,ham,teamlead@company.org,4/29/2025 16:56,0,1,High
Password Reset Required,New insurance options attached. Enrollment deadline: Aug 15.,ham,sales@company.org,4/29/2025 20:36,0,1,Low
Team Outing Details,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,rachel.manager@corp.com,4/30/2025 6:00,0,0,High
Exclusive Deal Just For You!,You won the lottery! Claim now: http://lottery-claim.win,spam,support@netflix-billing.com,4/30/2025 9:29,1,0,Medium
Credit Card Alert,You won the lottery! Claim now: http://lottery-claim.win,spam,alert@mobile-services.xyz,4/30/2025 14:25,1,0,High
Urgent: Unusual Login Detected,Alert: suspicious activity on your credit card. Confirm: http://cc-alerts.com,spam,security@bank-alerts.net,4/30/2025 16:48,1,0,High
Conference Room Booking,New insurance options attached. Enrollment deadline: Aug 15.,ham,scheduler@company.org,4/30/2025 17:14,0,0,Low
Investment Opportunity,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,alerts@creditcard-secure.com,4/30/2025 22:34,1,0,High
Tax Refund Pending,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,noreply@bank-security.org,5/1/2025 10:09,1,0,Medium
Password Reset Required,Following up on client meeting notes and next steps.,ham,jane.ceo@company.org,5/1/2025 12:43,0,0,High
Urgent: Unusual Login Detected,Special discount just for you: http://exclusive-deal.shop,spam,alert@fedex-delivery.services,5/2/2025 16:42,1,0,High
Weekly Newsletter,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,clientrelations@company.org,5/2/2025 17:16,0,1,Low
Netflix Account Expired,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,rewards@shopping-offers.com,5/2/2025 20:27,1,0,High
Missed Call Alert,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,alerts@creditcard-secure.com,5/3/2025 5:41,1,0,Medium
Re: Budget Approval,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,sam.colleague@company.org,5/3/2025 7:22,0,0,Medium
Monthly Sales Report,Attached are the revised TPS reports. Pls review by EOD. - Rachel,ham,newsletter@company.org,5/3/2025 8:38,0,0,High
Lunch Plan Confirmation,Team outing scheduled for Friday. RSVP by Wednesday.,ham,events@company.org,5/3/2025 17:00,0,1,Medium
Netflix Account Expired,Package #FHJ332 could not be delivered. Update address: http://fedex-track-033.xyz,spam,lottery@claim-now.com,5/3/2025 18:05,1,0,Medium
Weekly Newsletter,Welcome package attached. Start date: Aug 21. - HR Team,ham,hr@company.org,5/3/2025 18:54,0,1,Medium
Weekly Newsletter,New insurance options attached. Enrollment deadline: Aug 15.,ham,facilities@company.org,5/4/2025 1:43,0,1,Low
Urgent: Unusual Login Detected,Your account was accessed from Nigeria. Verify activity: http://secure-login.xyz,spam,deals@flashsale.club,5/4/2025 16:53,1,0,High
Re: Client Feedback Document,New insurance options attached. Enrollment deadline: Aug 15.,ham,events@company.org,5/5/2025 6:13,0,1,High
Re: Budget Approval,Monthly sales report attached. Please review and provide feedback.,ham,cfo@company.org,5/5/2025 13:30,0,1,Medium
Client Follow-up,Here is the weekly newsletter for your review.,ham,security@company.org,5/5/2025 18:28,0,0,High
